2025-11-15 04:01:20,353 - __main__ - INFO - Starting keyframe extraction system in supervision mode
2025-11-15 04:01:20,353 - __main__ - INFO - Using device: cuda:0
2025-11-15 04:01:20,353 - __main__ - INFO - Cache directory: .cache
2025-11-15 04:01:20,353 - __main__ - INFO - ============================================================
2025-11-15 04:01:20,353 - __main__ - INFO - STEP 1: GENERATING TEACHER SUPERVISION
2025-11-15 04:01:20,353 - __main__ - INFO - ============================================================
2025-11-15 04:01:20,353 - __main__ - INFO - Starting teacher supervision generation...
2025-11-15 04:01:20,353 - keyframe_extraction.teacher_model - INFO - Loading teacher model from /data/share/qwen/Qwen2.5-VL-7B-Instruct
2025-11-15 04:01:30,631 - keyframe_extraction.teacher_model - INFO - Teacher model loaded successfully
2025-11-15 04:01:30,809 - keyframe_extraction.frame_scoring - INFO - Loaded 31527 samples from beauty domain
2025-11-15 04:01:30,809 - keyframe_extraction.frame_scoring - INFO - Limited to 5 samples for prototyping
2025-11-15 04:01:30,994 - keyframe_extraction.frame_scoring - INFO - Loaded 32824 samples from sports domain
2025-11-15 04:01:30,994 - keyframe_extraction.frame_scoring - INFO - Limited to 5 samples for prototyping
2025-11-15 04:01:30,998 - keyframe_extraction.frame_scoring - INFO - Loaded total 9 videos from 2 domains
2025-11-15 04:01:31,002 - __main__ - INFO - Loaded 9 videos for supervision generation
2025-11-15 04:01:31,003 - keyframe_extraction.frame_scoring - INFO - Computing frame importance scores for https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/ab1b0dd9-52c7-5cc0-a58e-c1852fe65ff8/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4
2025-11-15 04:01:31,026 - keyframe_extraction.video_loader - INFO - Loaded cached frames for https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/v2/ab1b0dd9-52c7-5cc0-a58e-c1852fe65ff8/ShortForm-Generic-480p-16-9-1409173089793-rpcbe5.mp4
2025-11-15 04:01:31,244 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpyn5g9k3w.mp4', total_frames=16, video_fps=2.0, time=0.043s
2025-11-15 04:08:43,047 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpgu0a27ru.mp4', total_frames=17, video_fps=2.0, time=0.054s
2025-11-15 04:08:56,008 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp4s3fva91.mp4', total_frames=16, video_fps=2.0, time=0.039s
2025-11-15 04:09:09,060 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp4g900zl9.mp4', total_frames=17, video_fps=2.0, time=0.046s
2025-11-15 04:09:22,128 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp04k4ga5j.mp4', total_frames=16, video_fps=2.0, time=0.050s
2025-11-15 04:09:35,153 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpptie1j15.mp4', total_frames=17, video_fps=2.0, time=0.040s
2025-11-15 04:09:48,239 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp2a8vl1yn.mp4', total_frames=16, video_fps=2.0, time=0.052s
2025-11-15 04:10:01,199 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpkffxh6uj.mp4', total_frames=17, video_fps=2.0, time=0.063s
2025-11-15 04:10:14,180 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp2pj0lt1s.mp4', total_frames=16, video_fps=2.0, time=0.031s
2025-11-15 04:10:27,205 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp30w8p9_2.mp4', total_frames=17, video_fps=2.0, time=0.047s
2025-11-15 04:10:40,168 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp9543suz8.mp4', total_frames=16, video_fps=2.0, time=0.038s
2025-11-15 04:10:53,196 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpav3m0k7j.mp4', total_frames=17, video_fps=2.0, time=0.038s
2025-11-15 04:11:06,183 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpa0ezu9t5.mp4', total_frames=16, video_fps=2.0, time=0.056s
2025-11-15 04:11:19,238 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpfkww_ou2.mp4', total_frames=17, video_fps=2.0, time=0.041s
2025-11-15 04:11:32,300 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp0ils2_le.mp4', total_frames=16, video_fps=2.0, time=0.043s
2025-11-15 04:11:45,327 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp5bif7m9m.mp4', total_frames=17, video_fps=2.0, time=0.043s
2025-11-15 04:11:58,370 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmphfjksd11.mp4', total_frames=16, video_fps=2.0, time=0.049s
2025-11-15 04:12:11,266 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpmui8itoy.mp4', total_frames=17, video_fps=2.0, time=0.037s
2025-11-15 04:12:24,276 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp6ore32zc.mp4', total_frames=16, video_fps=2.0, time=0.050s
2025-11-15 04:12:37,209 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmph38o4edy.mp4', total_frames=17, video_fps=2.0, time=0.038s
2025-11-15 04:12:50,216 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp0mp9tdrg.mp4', total_frames=16, video_fps=2.0, time=0.045s
2025-11-15 04:13:03,166 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpbzb51nxv.mp4', total_frames=17, video_fps=2.0, time=0.054s
2025-11-15 04:13:16,144 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp3ebaehh3.mp4', total_frames=16, video_fps=2.0, time=0.043s
2025-11-15 04:13:29,188 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp8lr_1f4g.mp4', total_frames=17, video_fps=2.0, time=0.037s
2025-11-15 04:13:42,260 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmppzogcody.mp4', total_frames=16, video_fps=2.0, time=0.041s
2025-11-15 04:13:55,313 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp2e5kk9i_.mp4', total_frames=17, video_fps=2.0, time=0.030s
2025-11-15 04:14:08,358 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmprnru0kwb.mp4', total_frames=16, video_fps=2.0, time=0.051s
2025-11-15 04:14:21,311 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp7oxz0xon.mp4', total_frames=17, video_fps=2.0, time=0.040s
2025-11-15 04:14:34,352 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpp984yz89.mp4', total_frames=16, video_fps=2.0, time=0.037s
2025-11-15 04:14:47,371 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpkce_c8f3.mp4', total_frames=17, video_fps=2.0, time=0.052s
2025-11-15 04:15:00,294 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp2j5cdx76.mp4', total_frames=16, video_fps=2.0, time=0.046s
2025-11-15 04:15:13,212 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp0oo1gnst.mp4', total_frames=17, video_fps=2.0, time=0.043s
2025-11-15 04:15:26,185 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpmtm4ydh1.mp4', total_frames=16, video_fps=2.0, time=0.043s
2025-11-15 04:15:39,249 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp4a7xez5f.mp4', total_frames=17, video_fps=2.0, time=0.049s
2025-11-15 04:15:52,279 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpbwsi0r5m.mp4', total_frames=16, video_fps=2.0, time=0.034s
2025-11-15 04:16:05,358 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp7vtzmwd2.mp4', total_frames=17, video_fps=2.0, time=0.041s
2025-11-15 04:16:18,373 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp9zx8fymy.mp4', total_frames=16, video_fps=2.0, time=0.048s
2025-11-15 04:16:31,385 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp025rynur.mp4', total_frames=17, video_fps=2.0, time=0.056s
2025-11-15 04:16:44,314 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpmi1g6jok.mp4', total_frames=16, video_fps=2.0, time=0.041s
2025-11-15 04:16:57,406 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpao3z1s_v.mp4', total_frames=17, video_fps=2.0, time=0.045s
2025-11-15 04:17:10,415 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpkuhtvsms.mp4', total_frames=16, video_fps=2.0, time=0.044s
2025-11-15 04:17:23,482 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp4034brvi.mp4', total_frames=17, video_fps=2.0, time=0.050s
2025-11-15 04:17:36,481 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmphgl4ndtg.mp4', total_frames=16, video_fps=2.0, time=0.048s
2025-11-15 04:17:49,509 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpt23pxjp2.mp4', total_frames=17, video_fps=2.0, time=0.037s
2025-11-15 04:18:02,552 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmph6op54wt.mp4', total_frames=16, video_fps=2.0, time=0.043s
2025-11-15 04:18:15,604 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpj9xirewn.mp4', total_frames=17, video_fps=2.0, time=0.042s
2025-11-15 04:18:28,629 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpl__2ox86.mp4', total_frames=16, video_fps=2.0, time=0.052s
2025-11-15 04:18:41,670 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmprxjxqg8_.mp4', total_frames=17, video_fps=2.0, time=0.056s
2025-11-15 04:18:54,734 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp2546r31g.mp4', total_frames=16, video_fps=2.0, time=0.050s
2025-11-15 04:19:07,774 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp6dmfwa1s.mp4', total_frames=17, video_fps=2.0, time=0.079s
2025-11-15 04:19:20,712 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmphiwfqwfc.mp4', total_frames=16, video_fps=2.0, time=0.049s
2025-11-15 04:19:33,696 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp395o64jf.mp4', total_frames=17, video_fps=2.0, time=0.038s
2025-11-15 04:19:46,658 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpa0mfz17x.mp4', total_frames=16, video_fps=2.0, time=0.059s
2025-11-15 04:19:59,655 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpfndgaj9e.mp4', total_frames=17, video_fps=2.0, time=0.042s
2025-11-15 04:20:12,591 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp_fl8ez2_.mp4', total_frames=16, video_fps=2.0, time=0.036s
2025-11-15 04:20:25,609 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpz9luyclb.mp4', total_frames=17, video_fps=2.0, time=0.044s
2025-11-15 04:20:38,586 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmphdykd9ge.mp4', total_frames=16, video_fps=2.0, time=0.048s
2025-11-15 04:20:51,566 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpfmh1pv29.mp4', total_frames=17, video_fps=2.0, time=0.049s
2025-11-15 04:21:04,570 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpxsyw6d_h.mp4', total_frames=16, video_fps=2.0, time=0.051s
2025-11-15 04:21:17,572 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp71gr4y0j.mp4', total_frames=17, video_fps=2.0, time=0.049s
2025-11-15 04:21:30,552 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpp6335egc.mp4', total_frames=16, video_fps=2.0, time=0.055s
2025-11-15 04:21:43,552 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpw_i4shhj.mp4', total_frames=17, video_fps=2.0, time=0.050s
2025-11-15 04:21:56,624 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpv6uo2o5j.mp4', total_frames=16, video_fps=2.0, time=0.044s
2025-11-15 04:22:09,628 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp_bz9rp0k.mp4', total_frames=17, video_fps=2.0, time=0.035s
2025-11-15 04:22:22,614 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp91qkwwhx.mp4', total_frames=16, video_fps=2.0, time=0.049s
2025-11-15 04:22:35,639 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpmv5at7ac.mp4', total_frames=17, video_fps=2.0, time=0.037s
2025-11-15 04:22:48,600 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpk0pcqjaz.mp4', total_frames=16, video_fps=2.0, time=0.039s
2025-11-15 04:23:01,620 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmps52g1gul.mp4', total_frames=17, video_fps=2.0, time=0.043s
2025-11-15 04:23:14,680 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp9prk6ite.mp4', total_frames=16, video_fps=2.0, time=0.053s
2025-11-15 04:23:27,673 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpezlo8gii.mp4', total_frames=17, video_fps=2.0, time=0.048s
2025-11-15 04:23:40,737 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpkmdgu7a_.mp4', total_frames=16, video_fps=2.0, time=0.031s
2025-11-15 04:23:53,736 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpn_3ql0_e.mp4', total_frames=17, video_fps=2.0, time=0.049s
2025-11-15 04:24:06,739 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp1_ki6597.mp4', total_frames=16, video_fps=2.0, time=0.038s
2025-11-15 04:24:19,753 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpx97f_4g2.mp4', total_frames=17, video_fps=2.0, time=0.038s
2025-11-15 04:24:32,691 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpe6cwx9d3.mp4', total_frames=16, video_fps=2.0, time=0.045s
2025-11-15 04:24:45,768 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp5hnik686.mp4', total_frames=17, video_fps=2.0, time=0.051s
2025-11-15 04:24:58,813 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpc3gnzag3.mp4', total_frames=16, video_fps=2.0, time=0.042s
2025-11-15 04:25:11,865 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp__9b2d4c.mp4', total_frames=17, video_fps=2.0, time=0.049s
2025-11-15 04:25:24,823 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp4f1_r4dt.mp4', total_frames=16, video_fps=2.0, time=0.045s
2025-11-15 04:25:37,200 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpb0n136su.mp4', total_frames=17, video_fps=2.0, time=0.042s
2025-11-15 04:25:49,182 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpby1dvjbg.mp4', total_frames=16, video_fps=2.0, time=0.038s
2025-11-15 04:26:01,196 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpm9l10tt_.mp4', total_frames=17, video_fps=2.0, time=0.048s
2025-11-15 04:26:14,017 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpxsmxs9fi.mp4', total_frames=16, video_fps=2.0, time=0.050s
2025-11-15 04:26:27,061 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpzr8khkwr.mp4', total_frames=17, video_fps=2.0, time=0.034s
2025-11-15 04:26:38,764 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpdm50mqos.mp4', total_frames=16, video_fps=2.0, time=0.038s
2025-11-15 04:26:51,009 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp1sr7sneb.mp4', total_frames=17, video_fps=2.0, time=0.036s
2025-11-15 04:27:05,682 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpjgh50h1i.mp4', total_frames=16, video_fps=2.0, time=0.053s
2025-11-15 04:27:17,558 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp3ce3i7cj.mp4', total_frames=17, video_fps=2.0, time=0.050s
2025-11-15 04:27:35,581 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp9pk0k367.mp4', total_frames=16, video_fps=2.0, time=0.043s
2025-11-15 04:27:48,504 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpzpr4rzv_.mp4', total_frames=17, video_fps=2.0, time=0.031s
2025-11-15 04:28:04,195 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpamb9u7n2.mp4', total_frames=16, video_fps=2.0, time=0.046s
2025-11-15 04:28:16,949 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpa6_tmznw.mp4', total_frames=17, video_fps=2.0, time=0.033s
2025-11-15 04:28:34,380 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpghe9tyk1.mp4', total_frames=16, video_fps=2.0, time=0.044s
2025-11-15 04:28:47,251 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpyxircr6d.mp4', total_frames=17, video_fps=2.0, time=0.042s
2025-11-15 04:29:03,632 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpgx50a2_r.mp4', total_frames=16, video_fps=2.0, time=0.035s
2025-11-15 04:29:16,450 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp65mnldyw.mp4', total_frames=17, video_fps=2.0, time=0.043s
2025-11-15 04:29:32,942 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpism97bun.mp4', total_frames=16, video_fps=2.0, time=0.053s
2025-11-15 04:29:45,817 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmppxxu9hx7.mp4', total_frames=17, video_fps=2.0, time=0.043s
2025-11-15 04:29:57,740 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmprz5zzknx.mp4', total_frames=16, video_fps=2.0, time=0.045s
2025-11-15 04:30:13,199 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpjhddlk1n.mp4', total_frames=17, video_fps=2.0, time=0.063s
2025-11-15 04:30:25,904 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmpaksy294t.mp4', total_frames=16, video_fps=2.0, time=0.031s
2025-11-15 04:30:41,860 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp7lnzgmw6.mp4', total_frames=17, video_fps=2.0, time=0.045s
2025-11-15 04:30:53,604 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp332axf3u.mp4', total_frames=16, video_fps=2.0, time=0.033s
2025-11-15 04:31:05,322 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp8hf2i_oc.mp4', total_frames=17, video_fps=2.0, time=0.039s
2025-11-15 04:31:18,090 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp5dw2g2r7.mp4', total_frames=16, video_fps=2.0, time=0.045s
2025-11-15 04:31:32,807 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp9vei_u8s.mp4', total_frames=17, video_fps=2.0, time=0.036s
2025-11-15 04:31:45,564 - qwen_vl_utils.vision_process - INFO - decord:  video_path='/tmp/tmp87leh2lh.mp4', total_frames=16, video_fps=2.0, time=0.039s
